,TradeType,TradeResult,Result,EMA_9,EMA_20,RSI,Name,SDate,EDate,RatioB/W,StochasticRsi,Stochastic
3409,BullishReversal,1,1751.7594604492188,666.8835301300237,673.8120502342802,43.22234503235244,processed_ABB.csv,2012-05-31,2012-06-18,4.818115144847818,0.7595786698228777,58.6854519367688
3410,BullishReversal,1,3843.14892578125,661.8682327207152,670.0010186096163,40.10033215916366,processed_ABB.csv,2012-06-04,2012-06-18,6.323952730853724,0.6415154106100587,41.851124059075666
3411,BullishReversal,1,882.439453125,706.8983803816212,709.058840749943,43.40368491761966,processed_ABB.csv,2012-07-18,2012-08-10,25.23169218038891,0.106157840028033,20.26744308176487
3412,BullishReversal,1,1442.3590087890625,644.9545012202923,655.6584760291375,31.467178569271297,processed_ABB.csv,2012-11-29,2012-12-07,10.857874477649323,0.3418142970930885,68.83010116989327
3413,BullishReversal,1,8049.0740966796875,487.7982972907614,510.11902303614073,22.661908605722672,processed_ABB.csv,2013-07-31,2013-10-08,5.222254236564628,0.0,10.5967943166904
3414,BullishReversal,1,14447.57144165039,438.01446862054274,458.5110261948069,26.814470857966658,processed_ABB.csv,2013-08-20,2013-10-08,898.6586021505376,0.5263934056648366,37.786039675236175
3415,BullishReversal,1,8589.476440429688,1159.687851851144,1179.4951479063911,37.94132776971929,processed_ABB.csv,2015-06-16,2015-07-24,36.37344537815126,0.2960571601458975,14.109377817125972
3416,BullishReversal,0,-10238.10498046875,1183.3987254158071,1205.4309951374942,36.54626179278302,processed_ABB.csv,2015-08-21,2015-10-09,12.500438468284127,0.1286130301019556,14.427298196244292
3417,BullishReversal,0,-6704.212829589844,1094.901531097087,1129.8720303425457,37.657962178210326,processed_ABB.csv,2015-09-04,2015-10-09,9.218602207041513,0.6042430747625689,29.761133891284985
3418,BullishReversal,0,-4109.0518798828125,1074.368845262367,1106.7047208241777,37.024088547096135,processed_ABB.csv,2015-09-10,2015-10-09,62.00968262506724,0.7222958966397713,30.97827649085748
3419,BullishReversal,1,2528.3874511718636,1018.7369102101233,1053.7424778018317,32.1322221082457,processed_ABB.csv,2015-09-23,2015-10-09,36.49837535014006,0.3219327933011694,13.75404548347267
3420,BullishReversal,1,3397.25311279298,991.1381710744582,1030.39497808651,25.71794227288773,processed_ABB.csv,2015-09-29,2015-10-09,69.56043627670701,0.0,15.850040242630518
3421,BullishReversal,1,857.933349609375,1112.818763805349,1114.7425958287083,44.6650144706896,processed_ABB.csv,2016-06-24,2016-07-01,4.372493189208191,0.15574189274985,44.24597598932859
